[ 2026-06-26 14:20:03,567 ] 30 root - INFO - API Keys Loaded Successfully.
[ 2026-06-26 14:20:14,001 ] 85 root - INFO - Processing uploaded file...
[ 2026-06-26 14:20:15,546 ] 40 root - INFO - Extracted 68 chunks successfully.
[ 2026-06-26 14:20:15,546 ] 89 root - INFO - Generated 68 chunks.
[ 2026-06-26 14:20:15,708 ] 123 pinecone.client.indexes - INFO - Describing index 'test'
[ 2026-06-26 14:20:17,037 ] 1025 httpx - INFO - HTTP Request: GET https://api.pinecone.io/indexes/test "HTTP/1.1 200 OK"
[ 2026-06-26 14:20:17,675 ] 154 pinecone.index - INFO - Index client created for host https://test-2p7541j.svc.aped-4627-b74a.pinecone.io
[ 2026-06-26 14:20:17,675 ] 95 root - INFO - Generating embeddings...
[ 2026-06-26 14:20:20,078 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 14:20:22,366 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 200 OK"
[ 2026-06-26 14:20:22,706 ] 113 root - INFO - Uploading vectors to Pinecone...
[ 2026-06-26 14:20:22,707 ] 339 pinecone.index - INFO - Upserting 68 vectors into namespace ''
[ 2026-06-26 14:20:25,745 ] 117 root - INFO - Vectors Uploaded Successfully.
[ 2026-06-26 14:20:37,889 ] 85 root - INFO - Processing uploaded file...
[ 2026-06-26 14:20:39,325 ] 40 root - INFO - Extracted 68 chunks successfully.
[ 2026-06-26 14:20:39,325 ] 89 root - INFO - Generated 68 chunks.
[ 2026-06-26 14:20:39,851 ] 154 pinecone.index - INFO - Index client created for host https://test-2p7541j.svc.aped-4627-b74a.pinecone.io
[ 2026-06-26 14:20:39,852 ] 95 root - INFO - Generating embeddings...
[ 2026-06-26 14:20:40,589 ] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-embedding-2-preview:batchEmbedContents "HTTP/1.1 429 Too Many Requests"
